municipio_escola;municipio_prova;uf_prova;nota_ciencias_natureza;nota_ciencias_humanas;nota_linguagens_codigos;nota_matematica;nota_redacao
São Paulo;São Paulo;SP;556.0;577.9;617.7;531.4;600.0
São Paulo;São Paulo;SP;596.2;602.2;621.4;653.2;740.0
São Paulo;São Paulo;SP;654.4;693.2;646.3;721.7;820.0
São Paulo;São Paulo;SP;462.1;452.3;494.7;481.7;660.0
São Paulo;São Paulo;SP;514.4;467.8;536.3;627.2;760.0
São Paulo;São Paulo;SP;;;;;
São Paulo;São Paulo;SP;624.9;692.1;618.9;724.7;660.0
São Paulo;São Paulo;SP;507.0;498.9;447.3;690.3;680.0
São Paulo;São Paulo;SP;603.6;617.8;622.2;737.0;720.0
São Paulo;São Paulo;SP;499.3;502.9;517.0;432.3;620.0
São Paulo;São Paulo;SP;551.8;518.7;527.4;541.3;600.0
São Paulo;São Paulo;SP;564.5;606.1;547.0;662.4;720.0
São Paulo;São Paulo;SP;661.4;646.8;658.6;655.1;760.0
São Paulo;São Paulo;SP;583.1;660.7;612.5;665.3;840.0
São Paulo;São Paulo;SP;459.6;653.2;633.3;382.1;820.0
São Paulo;São Paulo;SP;644.1;631.6;618.7;729.8;700.0
São Paulo;São Paulo;SP;629.8;624.5;575.0;667.8;780.0
São Paulo;São Paulo;SP;515.0;626.3;612.4;659.9;600.0
São Paulo;São Paulo;SP;;;;;
São Paulo;São Paulo;SP;530.8;590.3;623.3;603.1;780.0
São Paulo;São Paulo;SP;;583.0;568.1;;400.0
São Paulo;São Paulo;SP;629.7;648.6;612.6;690.9;460.0
São Paulo;São Paulo;SP;361.4;533.5;491.1;461.2;540.0
São Paulo;São Paulo;SP;506.2;559.0;530.8;661.8;560.0
São Paulo;São Paulo;SP;602.7;648.7;621.1;638.0;620.0
São Paulo;São Paulo;SP;;;;;
São Paulo;São Paulo;SP;;;;;
São Paulo;São Paulo;SP;;;;;
São Paulo;São Paulo;SP;413.7;540.1;580.2;550.1;640.0
São Paulo;São Paulo;SP;453.5;589.4;611.8;704.4;380.0
São Paulo;São Paulo;SP;437.5;626.0;627.9;588.2;760.0
São Paulo;São Paulo;SP;566.7;613.7;530.7;545.4;300.0
São Paulo;São Paulo;SP;615.5;679.2;586.5;658.8;880.0
São Paulo;Santo André;SP;507.5;571.1;572.3;436.0;620.0
